X,Y,fid,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,Densidade,Densidadee,População PB _População,icon_url
-35.0361412035297,-6.79687639085129,"164","2512903",Rio Tinto,PB,465.24,"0",0.052,24.218,./0.png
-36.8421378721914,-7.09873042125247,"165","2513000",Salgadinho,PB,179.005,"0",0.022,3.931,./0.png
-35.4635968524833,-7.41472750988434,"166","2513109",Salgado de São Félix,PB,204.079,"0",0.059,12.131,./0.png
-35.9215482690332,-7.72894044817305,"167","2513158",Santa Cecília,PB,217.577,"0",0.03,6.541,./0.png
-38.052815047086,-6.54884423711167,"168","2513208",Santa Cruz,PB,217.677,"0",0.03,6.581,./0.png
-38.5841192087149,-6.73048130638985,"169","2513307",Santa Helena,PB,211.143,"0",0.028,5.871,./0.png
-38.5773745619806,-7.66637176985519,"170","2513356",Santa Inês,PB,327.635,"0",0.011,3.593,./0.png
-36.9065266634308,-6.91718533220287,"171","2513406",Santa Luzia,PB,440.766,"0",0.035,15.426,./0.png
-38.3309829571202,-7.62820520992297,"172","2513505",Santana de Mangueira,PB,405.164,"0",0.013,5.129,./0.png
-37.9600498237414,-7.38785162183627,"173","2513604",Santana dos Garrotes,PB,361.484,"0",0.019,6.986,./0.png
-38.4809382496911,-6.47710334195983,"174","2513653",Joca Claudino,PB,71.799,"0",0.037,2.639,./0.png
-35.0000683922647,-7.06729761273909,"175","2513703",Santa Rita,PB,718.576,"0",0.191,137.349,./2.png
-37.4453910538729,-7.09114205477557,"176","2513802",Santa Teresinha,PB,359.442,"0",0.013,4.562,./0.png
-36.6146569819976,-7.22107723189225,"177","2513851",Santo André,PB,197.791,"0",0.013,2.509,./0.png
-37.4713223476423,-6.45887392447128,"178","2513901",São Bento,PB,245.84,"0",0.14,34.344,./1.png
-37.7071749539571,-6.87377870891277,"179","2513927",São Bentinho,PB,199.635,"0",0.023,4.566,./0.png
-36.4047999721836,-7.58813578660203,"180","2513943",São Domingos do Cariri,PB,233.835,"0",0.011,2.63,./0.png
-37.9507732699067,-6.80396707097901,"181","2513968",São Domingos,PB,170.361,"0",0.018,3.097,./0.png
-38.0596607439667,-6.63516998474443,"182","2513984",São Francisco,PB,90.724,"0",0.037,3.384,./0.png
-36.4940433122059,-7.45127697710362,"183","2514008",São João do Cariri,PB,612.966,"0",0.007,4.184,./0.png
-36.7874388175073,-8.08891765713534,"184","2514107",São João do Tigre,PB,812.617,"0",0.005,4.415,./0.png
-38.1395807286845,-6.94133919562297,"185","2514206",São José da Lagoa Tapada,PB,333.724,"0",0.023,7.626,./0.png
-38.3266224760365,-7.26056796990405,"186","2514305",São José de Caiana,PB,183.273,"0",0.035,6.376,./0.png
-37.379772238811,-6.81382725817007,"187","2514404",São José de Espinharas,PB,726.757,"0",0.006,4.656,./0.png
-35.3463776117802,-7.24189120859718,"188","2514453",São José dos Ramos,PB,100.642,"0",0.06,5.998,./0.png
-38.4921043936959,-7.10073098304951,"189","2514503",São José de Piranhas,PB,686.918,"0",0.03,20.329,./0.png
-38.0963603383841,-7.70254687477018,"190","2514552",São José de Princesa,PB,158.052,"0",0.025,3.95,./0.png
-37.3008718712814,-7.14926662993506,"191","2514602",São José do Bonfim,PB,153.629,"0",0.023,3.588,./0.png
-37.3581482355107,-6.23542213077713,"192","2514651",São José do Brejo do Cruz,PB,253.787,"0",0.007,1.811,./0.png
-36.8234486821032,-6.81718920258059,"193","2514701",São José do Sabugi,PB,213.555,"0",0.019,4.147,./0.png
-36.862409897917,-7.42906156174125,"194","2514800",São José dos Cordeiros,PB,376.661,"0",0.01,3.618,./0.png
-37.0848152582898,-6.92767685069412,"195","2514909",São Mamede,PB,533.446,"0",0.014,7.702,./0.png
-35.1987517860908,-7.24066704899786,"196","2515005",São Miguel de Taipu,PB,92.413,"0",0.08,7.41,./1.png
-35.8539352467191,-7.08917817074251,"197","2515104",São Sebastião de Lagoa de Roça,PB,46.372,"0",0.253,11.728,./2.png
-37.0150027707558,-8.15818630440257,"198","2515203",São Sebastião do Umbuzeiro,PB,464.327,"0",0.008,3.512,./0.png
-35.1971284775272,-7.05539350227407,"199","2515302",Sapé,PB,313.678,"0",0.168,52.804,./2.png
-36.4503378694494,-6.90900040706397,"200","2515401",São Vicente do Seridó,PB,262.751,"0",0.041,10.848,./0.png
-36.7078919462395,-7.53529658683559,"201","2515500",Serra Branca,PB,698.102,"0",0.02,13.754,./0.png
-35.4528143064117,-6.70519757282547,"202","2515609",Serra da Raiz,PB,31.679,"0",0.099,3.131,./1.png
-38.3795098637702,-7.22924047471071,"203","2515708",Serra Grande,PB,64.352,"0",0.045,2.916,./0.png
-35.6632691849549,-7.17154167507462,"204","2515807",Serra Redonda,PB,55.197,"0",0.127,7.021,./1.png
-35.6441433195174,-6.83317454343774,"205","2515906",Serraria,PB,65.062,"0",0.093,6.068,./1.png
-35.4214164662331,-6.74239308676792,"206","2515930",Sertãozinho,PB,32.455,"0",0.157,5.089,./2.png
-35.2559865057389,-7.17979934969829,"207","2515971",Sobrado,PB,61.953,"0",0.126,7.815,./1.png
-35.7248722982468,-6.75222820846577,"208","2516003",Solânea,PB,233.043,"0",0.113,26.227,./1.png
-36.3706008827747,-7.10038602390056,"209","2516102",Soledade,PB,578.178,"0",0.026,15.102,./0.png
-36.2099140073448,-6.72373533865664,"210","2516151",Sossêgo,PB,147.264,"0",0.024,3.594,./0.png
-38.2252164315253,-6.7397363408751,"211","2516201",Sousa,PB,728.492,"0",0.096,69.723,./1.png
-36.9006181395902,-7.67837288010295,"212","2516300",Sumé,PB,833.315,"0",0.02,17.031,./0.png
-35.5182272655642,-6.53782273213813,"213","2516409",Tacima,PB,245.236,"0",0.045,10.969,./0.png
-36.8307005040314,-7.22084463906746,"214","2516508",Taperoá,PB,628.365,"0",0.025,15.441,./0.png
-37.8921022538893,-7.59982913030007,"215","2516607",Tavares,PB,239.507,"0",0.062,14.759,./0.png
-37.2403245269083,-7.24553880856203,"216","2516706",Teixeira,PB,155.452,"0",0.098,15.248,./1.png
-36.6264827978613,-6.96125499863446,"217","2516755",Tenório,PB,87.452,"0",0.035,3.081,./0.png
-38.572259287281,-6.60560340312864,"218","2516805",Triunfo,PB,224.336,"0",0.042,9.464,./0.png
-38.39163784731,-6.5108470957691,"219","2516904",Uiraúna,PB,293.182,"0",0.052,15.3,./0.png
-35.7378355373924,-7.68085263419026,"220","2517001",Umbuzeiro,PB,185.578,"0",0.053,9.911,./0.png
-37.0314219566045,-6.78852491468473,"221","2517100",Várzea,PB,191.282,"0",0.015,2.841,./0.png
-38.2682358114501,-6.56022976196672,"222","2517209",Vieirópolis,PB,147.098,"0",0.037,5.372,./0.png
-37.0962518134286,-8.07661145000399,"223","2517407",Zabelê,PB,106.811,"0",0.021,2.255,./0.png
